Filename,Predictions
test_folder/SITE1.1.jpg,SITE1
test_folder/SITE1.10.jpg,SITE3
test_folder/SITE1.100.jpg,SITE2
test_folder/SITE1.101.jpg,SITE3
test_folder/SITE1.102.jpg,SITE2
test_folder/SITE1.103.jpg,SITE2
test_folder/SITE1.104.jpg,SITE2
test_folder/SITE1.105.jpg,SITE3
test_folder/SITE1.106.jpg,SITE3
test_folder/SITE1.107.jpg,SITE3
test_folder/SITE1.108.jpg,SITE2
test_folder/SITE1.109.jpg,SITE2
test_folder/SITE1.11.jpg,SITE3
test_folder/SITE1.110.jpg,SITE2
test_folder/SITE1.111.jpg,SITE3
test_folder/SITE1.112.jpg,SITE2
test_folder/SITE1.113.jpg,SITE3
test_folder/SITE1.114.jpg,SITE3
test_folder/SITE1.115.jpg,SITE3
test_folder/SITE1.116.jpg,SITE3
test_folder/SITE1.117.jpg,SITE3
test_folder/SITE1.118.jpg,SITE3
test_folder/SITE1.119.jpg,SITE3
test_folder/SITE1.12.jpg,SITE3
test_folder/SITE1.120.jpg,SITE3
test_folder/SITE1.121.jpg,SITE3
test_folder/SITE1.122.jpg,SITE3
test_folder/SITE1.123.jpg,SITE3
test_folder/SITE1.124.jpg,SITE3
test_folder/SITE1.125.jpg,SITE3
test_folder/SITE1.126.jpg,SITE1
test_folder/SITE1.127.jpg,SITE3
test_folder/SITE1.128.jpg,SITE1
test_folder/SITE1.129.jpg,SITE3
test_folder/SITE1.13.jpg,SITE3
test_folder/SITE1.130.jpg,SITE3
test_folder/SITE1.131.jpg,SITE3
test_folder/SITE1.132.jpg,SITE3
test_folder/SITE1.133.jpg,SITE3
test_folder/SITE1.134.jpg,SITE3
test_folder/SITE1.135.jpg,SITE3
test_folder/SITE1.136.jpg,SITE3
test_folder/SITE1.137.jpg,SITE1
test_folder/SITE1.138.jpg,SITE3
test_folder/SITE1.139.jpg,SITE2
test_folder/SITE1.14.jpg,SITE3
test_folder/SITE1.140.jpg,SITE1
test_folder/SITE1.141.jpg,SITE3
test_folder/SITE1.142.jpg,SITE1
test_folder/SITE1.143.jpg,SITE3
