Filename,Predictions
test_folder/SITE1.1.jpg,SITE1
test_folder/SITE1.10.jpg,SITE1
test_folder/SITE1.100.jpg,SITE1
test_folder/SITE1.11.jpg,SITE1
test_folder/SITE1.12.jpg,SITE1
test_folder/SITE1.13.jpg,SITE1
test_folder/SITE1.14.jpg,SITE1
test_folder/SITE1.15.jpg,SITE1
test_folder/SITE1.16.jpg,SITE1
test_folder/SITE1.17.jpg,SITE1
test_folder/SITE1.18.jpg,SITE1
test_folder/SITE1.19.jpg,SITE1
test_folder/SITE1.2.jpg,SITE1
test_folder/SITE1.20.jpg,SITE5
test_folder/SITE1.21.jpg,SITE1
test_folder/SITE1.22.jpg,SITE1
test_folder/SITE1.23.jpg,SITE1
test_folder/SITE1.24.jpg,SITE1
test_folder/SITE1.25.jpg,SITE1
test_folder/SITE1.26.jpg,SITE1
test_folder/SITE1.27.jpg,SITE1
test_folder/SITE1.28.jpg,SITE1
test_folder/SITE1.29.jpg,SITE1
test_folder/SITE1.3.jpg,SITE1
test_folder/SITE1.30.jpg,SITE1
test_folder/SITE1.31.jpg,SITE1
test_folder/SITE1.32.jpg,SITE1
test_folder/SITE1.33.jpg,SITE1
test_folder/SITE1.34.jpg,SITE1
test_folder/SITE1.35.jpg,SITE1
test_folder/SITE1.36.jpg,SITE1
test_folder/SITE1.37.jpg,SITE1
test_folder/SITE1.38.jpg,SITE1
test_folder/SITE1.39.jpg,SITE1
test_folder/SITE1.4.jpg,SITE1
test_folder/SITE1.40.jpg,SITE1
test_folder/SITE1.41.jpg,SITE1
test_folder/SITE1.42.jpg,SITE1
test_folder/SITE1.43.jpg,SITE1
test_folder/SITE1.44.jpg,SITE1
test_folder/SITE1.45.jpg,SITE1
test_folder/SITE1.46.jpg,SITE1
test_folder/SITE1.47.jpg,SITE1
test_folder/SITE1.48.jpg,SITE1
test_folder/SITE1.49.jpg,SITE1
test_folder/SITE1.5.jpg,SITE1
test_folder/SITE1.50.jpg,SITE1
test_folder/SITE1.51.jpg,SITE1
test_folder/SITE1.52.jpg,SITE1
test_folder/SITE1.53.jpg,SITE1
test_folder/SITE1.54.jpg,SITE5
test_folder/SITE1.55.jpg,SITE1
test_folder/SITE1.56.jpg,SITE1
test_folder/SITE1.57.jpg,SITE1
test_folder/SITE1.58.jpg,SITE1
test_folder/SITE1.59.jpg,SITE1
test_folder/SITE1.6.jpg,SITE1
test_folder/SITE1.60.jpg,SITE1
test_folder/SITE1.61.jpg,SITE1
test_folder/SITE1.62.jpg,SITE1
test_folder/SITE1.63.jpg,SITE1
test_folder/SITE1.64.jpg,SITE1
test_folder/SITE1.65.jpg,SITE1
test_folder/SITE1.66.jpg,SITE1
test_folder/SITE1.67.jpg,SITE1
test_folder/SITE1.68.jpg,SITE1
test_folder/SITE1.69.jpg,SITE1
test_folder/SITE1.7.jpg,SITE1
test_folder/SITE1.70.jpg,SITE1
test_folder/SITE1.71.jpg,SITE1
test_folder/SITE1.72.jpg,SITE1
test_folder/SITE1.73.jpg,SITE1
test_folder/SITE1.74.jpg,SITE1
test_folder/SITE1.75.jpg,SITE1
test_folder/SITE1.76.jpg,SITE1
test_folder/SITE1.77.jpg,SITE1
test_folder/SITE1.78.jpg,SITE1
test_folder/SITE1.79.jpg,SITE1
test_folder/SITE1.8.jpg,SITE1
test_folder/SITE1.80.jpg,SITE1
test_folder/SITE1.81.jpg,SITE1
test_folder/SITE1.82.jpg,SITE1
test_folder/SITE1.83.jpg,SITE1
